,net
1532,"(3, 4, 4, 0, 4, 2)"
1533,"(3, 3, 4, 3, 2, 3)"
1534,"(4, 4, 3, 3, 4, 0)"
1535,"(3, 0, 4, 1, 3, 4)"
1536,"(3, 0, 2, 2, 4, 3)"
1537,"(3, 4, 1, 3, 1, 2)"
1539,"(0, 4, 0, 0, 0, 2)"
1542,"(4, 4, 3, 3, 0, 2)"
1545,"(2, 1, 0, 0, 0, 4)"
1547,"(0, 2, 4, 4, 2, 4)"
1548,"(3, 2, 1, 2, 2, 0)"
1549,"(4, 1, 1, 2, 2, 2)"
1550,"(2, 2, 3, 1, 2, 2)"
1553,"(3, 0, 0, 2, 2, 0)"
1559,"(4, 1, 2, 4, 0, 4)"
1565,"(4, 3, 1, 4, 4, 2)"
1566,"(3, 0, 1, 4, 0, 2)"
1567,"(2, 0, 2, 2, 4, 0)"
1572,"(2, 3, 0, 2, 2, 0)"
1574,"(0, 3, 3, 3, 1, 4)"
1575,"(1, 0, 3, 1, 1, 4)"
1578,"(4, 3, 1, 4, 0, 4)"
1579,"(2, 4, 3, 2, 0, 3)"
1585,"(3, 0, 2, 4, 1, 2)"
1590,"(4, 0, 4, 2, 4, 2)"
1591,"(2, 0, 1, 0, 4, 2)"
1593,"(3, 0, 3, 3, 4, 3)"
1595,"(4, 4, 1, 0, 0, 3)"
1607,"(2, 1, 1, 3, 1, 3)"
1609,"(4, 1, 2, 3, 2, 2)"
1610,"(2, 2, 0, 0, 4, 2)"
1611,"(3, 3, 0, 0, 0, 3)"
1619,"(2, 1, 0, 2, 2, 3)"
1620,"(3, 2, 0, 0, 3, 3)"
1621,"(3, 4, 1, 3, 4, 3)"
1624,"(2, 0, 4, 3, 0, 3)"
1625,"(4, 2, 3, 4, 0, 2)"
1626,"(4, 2, 1, 1, 3, 0)"
1629,"(0, 0, 3, 0, 4, 3)"
1638,"(3, 0, 2, 1, 4, 2)"
1642,"(3, 3, 3, 4, 4, 4)"
1644,"(0, 1, 0, 1, 4, 1)"
1648,"(3, 3, 1, 1, 2, 4)"
1652,"(0, 2, 2, 4, 3, 2)"
1654,"(4, 1, 1, 1, 2, 1)"
1656,"(4, 4, 2, 4, 2, 3)"
1657,"(3, 4, 3, 1, 4, 2)"
1659,"(2, 4, 3, 2, 3, 4)"
1661,"(3, 0, 2, 4, 4, 3)"
1662,"(3, 2, 2, 2, 2, 3)"
1665,"(2, 4, 4, 2, 4, 0)"
1667,"(4, 2, 3, 3, 2, 0)"
1669,"(2, 2, 4, 4, 1, 4)"
1674,"(4, 4, 4, 4, 2, 3)"
1678,"(4, 1, 1, 4, 2, 2)"
1680,"(3, 0, 0, 4, 2, 0)"
1681,"(3, 1, 3, 2, 2, 4)"
1682,"(3, 0, 3, 2, 3, 2)"
1685,"(4, 3, 2, 3, 0, 3)"
1686,"(2, 2, 0, 3, 2, 4)"
1688,"(2, 2, 3, 0, 2, 3)"
1695,"(3, 0, 4, 2, 4, 2)"
1696,"(2, 1, 4, 2, 1, 2)"
1698,"(3, 2, 4, 0, 2, 2)"
1701,"(4, 2, 1, 4, 1, 2)"
1702,"(2, 0, 4, 3, 3, 4)"
1705,"(3, 3, 3, 2, 3, 0)"
1709,"(3, 0, 4, 2, 0, 4)"
1710,"(2, 0, 1, 2, 4, 2)"
1713,"(3, 4, 2, 3, 4, 2)"
1714,"(4, 2, 1, 1, 2, 3)"
1719,"(2, 2, 0, 2, 3, 2)"
1723,"(0, 0, 2, 4, 1, 2)"
1726,"(2, 3, 4, 2, 4, 0)"
1728,"(2, 4, 2, 2, 4, 2)"
1731,"(3, 4, 2, 2, 0, 4)"
1732,"(0, 1, 0, 0, 4, 0)"
1734,"(3, 2, 0, 2, 3, 3)"
1735,"(2, 2, 0, 1, 0, 0)"
1736,"(3, 3, 4, 4, 1, 2)"
1738,"(2, 2, 2, 4, 2, 4)"
1740,"(2, 4, 2, 2, 0, 4)"
1742,"(0, 3, 1, 2, 2, 3)"
1747,"(2, 4, 4, 2, 3, 3)"
1748,"(2, 1, 3, 4, 1, 2)"
1750,"(2, 0, 2, 3, 3, 2)"
1751,"(4, 3, 2, 3, 4, 0)"
1754,"(2, 2, 4, 3, 1, 3)"
1755,"(3, 4, 4, 3, 0, 3)"
1762,"(3, 2, 1, 3, 4, 4)"
1764,"(4, 4, 0, 4, 1, 0)"
1766,"(3, 2, 4, 3, 0, 4)"
1767,"(3, 2, 2, 4, 1, 3)"
1769,"(2, 3, 1, 3, 2, 2)"
1773,"(2, 4, 4, 4, 4, 0)"
1774,"(4, 2, 2, 4, 0, 3)"
1776,"(3, 3, 4, 3, 3, 0)"
1777,"(4, 2, 4, 0, 4, 3)"
1778,"(2, 0, 3, 3, 0, 4)"
1781,"(3, 4, 3, 3, 0, 4)"
1782,"(2, 4, 1, 4, 4, 2)"
1786,"(4, 4, 2, 2, 4, 0)"
1789,"(4, 0, 3, 0, 2, 4)"
1790,"(3, 0, 1, 1, 4, 3)"
1793,"(4, 0, 1, 4, 4, 2)"
1794,"(3, 0, 3, 4, 3, 2)"
1795,"(4, 1, 3, 2, 1, 4)"
1797,"(4, 2, 2, 0, 2, 0)"
1804,"(4, 2, 4, 3, 4, 4)"
1817,"(3, 2, 4, 2, 2, 2)"
1818,"(3, 1, 4, 1, 4, 1)"
1819,"(3, 0, 1, 4, 4, 4)"
1820,"(2, 4, 0, 2, 1, 4)"
1821,"(2, 0, 1, 4, 3, 2)"
1823,"(0, 0, 3, 2, 3, 2)"
1825,"(3, 2, 0, 1, 2, 2)"
1827,"(3, 2, 1, 1, 3, 0)"
1829,"(3, 0, 4, 4, 0, 4)"
1830,"(2, 0, 0, 3, 4, 2)"
1832,"(4, 1, 0, 4, 2, 3)"
1833,"(3, 4, 0, 0, 2, 4)"
1836,"(2, 0, 3, 0, 3, 4)"
1837,"(2, 2, 2, 3, 2, 3)"
1839,"(2, 4, 2, 1, 0, 3)"
1842,"(3, 3, 0, 4, 3, 4)"
1843,"(3, 1, 4, 4, 4, 2)"
1852,"(2, 0, 0, 3, 0, 4)"
1853,"(4, 4, 4, 4, 3, 4)"
1855,"(4, 0, 3, 4, 4, 4)"
1857,"(2, 0, 4, 0, 4, 4)"
1858,"(3, 1, 0, 3, 4, 2)"
1859,"(4, 2, 3, 1, 4, 3)"
1860,"(2, 0, 0, 2, 1, 0)"
1867,"(4, 2, 2, 4, 3, 4)"
1868,"(4, 0, 0, 0, 2, 4)"
1869,"(4, 2, 0, 4, 1, 3)"
1871,"(2, 4, 1, 0, 3, 4)"
1874,"(4, 4, 0, 3, 4, 4)"
1875,"(3, 2, 2, 3, 1, 2)"
1878,"(4, 2, 4, 1, 3, 0)"
1880,"(2, 4, 4, 4, 3, 3)"
1883,"(3, 1, 0, 2, 0, 4)"
1884,"(4, 2, 3, 4, 4, 4)"
1885,"(4, 0, 1, 0, 3, 4)"
1888,"(4, 3, 3, 1, 0, 2)"
1889,"(2, 0, 3, 2, 0, 3)"
1890,"(4, 2, 0, 0, 3, 0)"
1894,"(0, 3, 2, 1, 4, 0)"
1901,"(3, 3, 1, 0, 0, 2)"
1905,"(0, 4, 4, 4, 4, 4)"
1907,"(4, 0, 3, 3, 1, 4)"
1911,"(1, 1, 0, 1, 1, 1)"
1912,"(4, 4, 2, 4, 3, 0)"
1913,"(4, 2, 4, 2, 4, 3)"
1915,"(4, 0, 3, 2, 2, 0)"
1919,"(4, 3, 1, 2, 4, 4)"
1921,"(2, 0, 2, 0, 4, 2)"
1926,"(3, 1, 2, 4, 0, 0)"
1929,"(3, 0, 1, 3, 4, 3)"
1933,"(4, 4, 4, 0, 3, 2)"
1935,"(2, 4, 3, 1, 4, 0)"
1937,"(4, 2, 2, 2, 2, 0)"
1947,"(2, 3, 0, 3, 2, 3)"
1951,"(4, 2, 0, 4, 4, 4)"
1952,"(4, 3, 4, 1, 4, 3)"
1954,"(3, 2, 1, 4, 2, 4)"
1955,"(2, 0, 0, 2, 0, 3)"
1957,"(4, 4, 4, 3, 3, 3)"
1960,"(0, 4, 0, 1, 2, 4)"
1963,"(4, 3, 1, 4, 1, 3)"
1964,"(4, 3, 0, 0, 4, 3)"
1966,"(4, 1, 2, 0, 3, 0)"
1969,"(2, 0, 3, 1, 3, 0)"
1970,"(3, 3, 2, 4, 2, 2)"
1976,"(4, 0, 4, 3, 2, 0)"
1977,"(2, 4, 4, 3, 2, 2)"
1981,"(0, 3, 2, 4, 2, 2)"
1991,"(4, 3, 1, 0, 3, 0)"
1994,"(4, 3, 0, 3, 4, 4)"
1996,"(3, 4, 1, 0, 1, 3)"
1997,"(4, 0, 1, 3, 2, 4)"
1999,"(0, 0, 0, 3, 0, 4)"
2000,"(3, 0, 0, 3, 1, 4)"
2002,"(4, 0, 1, 2, 3, 0)"
2003,"(2, 4, 0, 1, 3, 4)"
2010,"(3, 4, 4, 0, 4, 4)"
2011,"(4, 4, 3, 3, 4, 2)"
2012,"(4, 1, 4, 2, 2, 0)"
2013,"(3, 3, 2, 3, 4, 0)"
2015,"(4, 2, 0, 2, 3, 0)"
2016,"(3, 2, 0, 2, 0, 2)"
2017,"(3, 4, 1, 3, 1, 4)"
2018,"(4, 3, 1, 1, 4, 3)"
2028,"(3, 3, 2, 3, 0, 2)"
2030,"(4, 1, 1, 2, 2, 4)"
2031,"(4, 2, 4, 4, 3, 3)"
2032,"(2, 2, 3, 1, 2, 4)"
2034,"(3, 0, 0, 2, 2, 2)"
2036,"(2, 3, 1, 4, 2, 3)"
2040,"(4, 0, 3, 4, 2, 0)"
2041,"(3, 1, 4, 2, 3, 0)"
2044,"(4, 3, 1, 4, 4, 4)"
2046,"(2, 0, 2, 2, 4, 2)"
2047,"(2, 4, 2, 3, 2, 4)"
2048,"(2, 4, 0, 3, 0, 3)"
2049,"(3, 2, 1, 3, 1, 3)"
2053,"(3, 0, 1, 3, 1, 0)"
2054,"(4, 3, 0, 2, 2, 4)"
2055,"(2, 3, 0, 2, 2, 2)"
2056,"(0, 2, 4, 0, 4, 3)"
2060,"(4, 3, 0, 1, 3, 0)"
2061,"(4, 0, 2, 3, 3, 0)"
2062,"(4, 4, 4, 2, 3, 2)"
2063,"(4, 4, 1, 0, 4, 3)"
2064,"(2, 4, 3, 3, 4, 0)"
2066,"(3, 0, 2, 4, 1, 4)"
2070,"(4, 1, 2, 0, 2, 3)"
2071,"(2, 0, 3, 1, 2, 3)"
2072,"(2, 4, 0, 0, 1, 4)"
2078,"(4, 0, 4, 2, 4, 4)"
2081,"(4, 4, 1, 3, 4, 0)"
2083,"(2, 2, 0, 3, 3, 3)"
2096,"(3, 0, 3, 2, 0, 3)"
2099,"(2, 0, 3, 4, 3, 0)"
2102,"(4, 1, 2, 3, 2, 4)"
2103,"(4, 3, 2, 0, 2, 3)"
2104,"(2, 2, 0, 0, 4, 4)"
2110,"(4, 2, 4, 3, 1, 3)"
2116,"(2, 3, 0, 1, 4, 0)"
2120,"(2, 0, 4, 4, 4, 0)"
2122,"(4, 3, 1, 2, 2, 0)"
2123,"(4, 2, 1, 1, 3, 2)"
2130,"(4, 0, 2, 2, 0, 0)"
2133,"(3, 3, 0, 3, 1, 2)"
2134,"(2, 2, 3, 4, 3, 0)"
2138,"(3, 0, 2, 1, 4, 4)"
2146,"(3, 4, 4, 2, 4, 0)"
2161,"(3, 4, 3, 1, 4, 4)"
2163,"(3, 3, 1, 4, 2, 3)"
2164,"(2, 3, 2, 3, 3, 0)"
2167,"(4, 3, 2, 4, 4, 3)"
2170,"(4, 2, 3, 3, 2, 2)"
2172,"(4, 3, 0, 1, 2, 3)"
2178,"(4, 4, 2, 0, 4, 2)"
2179,"(4, 1, 1, 4, 2, 4)"
2183,"(3, 0, 0, 4, 2, 2)"
2185,"(2, 4, 4, 3, 3, 3)"
2186,"(4, 3, 0, 4, 2, 0)"
2188,"(3, 0, 3, 2, 3, 4)"
2190,"(4, 4, 1, 3, 3, 3)"
2191,"(0, 2, 4, 2, 3, 3)"
2193,"(2, 2, 4, 0, 3, 3)"
2204,"(2, 1, 4, 2, 1, 4)"
2205,"(3, 0, 4, 2, 4, 4)"
2206,"(3, 2, 4, 0, 2, 4)"
2207,"(4, 1, 2, 2, 1, 3)"
2209,"(4, 4, 2, 3, 4, 3)"
2210,"(4, 2, 1, 4, 1, 4)"
2214,"(3, 3, 3, 2, 3, 2)"
2216,"(2, 1, 1, 2, 1, 4)"
2217,"(1, 4, 4, 1, 1, 2)"
2221,"(2, 0, 1, 2, 4, 4)"
2223,"(4, 3, 1, 2, 1, 3)"
2226,"(3, 4, 2, 3, 4, 4)"
2228,"(2, 3, 4, 4, 3, 0)"
2231,"(2, 2, 0, 2, 3, 4)"
2233,"(3, 0, 3, 4, 0, 3)"
2237,"(2, 2, 0, 1, 4, 0)"
2240,"(1, 2, 0, 1, 1, 2)"
2242,"(2, 3, 4, 2, 4, 2)"
2244,"(2, 3, 0, 3, 3, 0)"
2246,"(2, 4, 2, 2, 4, 4)"
2248,"(3, 1, 3, 0, 0, 2)"
2249,"(2, 4, 2, 4, 0, 0)"
2252,"(4, 1, 4, 4, 0, 3)"
2256,"(3, 3, 4, 4, 1, 4)"
2259,"(4, 2, 1, 3, 3, 2)"
2260,"(3, 0, 3, 0, 2, 0)"
2263,"(4, 0, 2, 4, 0, 0)"
2265,"(2, 0, 3, 0, 4, 3)"
2268,"(3, 4, 3, 0, 4, 3)"
2269,"(4, 3, 3, 2, 0, 3)"
2270,"(0, 4, 2, 4, 2, 3)"
2271,"(2, 1, 3, 4, 1, 4)"
2273,"(2, 0, 2, 3, 3, 4)"
2274,"(3, 0, 4, 0, 3, 0)"
2275,"(4, 3, 2, 3, 4, 2)"
2279,"(3, 4, 4, 4, 4, 0)"
2280,"(4, 1, 1, 3, 1, 3)"
2282,"(2, 2, 0, 4, 0, 3)"
2283,"(2, 2, 2, 0, 4, 3)"
2285,"(0, 1, 3, 3, 0, 3)"
2288,"(4, 4, 0, 4, 1, 2)"
2290,"(4, 2, 2, 4, 4, 3)"
2293,"(2, 4, 1, 0, 4, 3)"
2295,"(3, 1, 2, 2, 4, 0)"
2299,"(2, 4, 4, 4, 4, 2)"
2304,"(3, 3, 4, 3, 3, 2)"
2307,"(4, 2, 0, 1, 3, 3)"
2311,"(3, 0, 4, 1, 4, 3)"
2316,"(4, 4, 2, 2, 4, 2)"
2319,"(3, 3, 1, 2, 4, 0)"
2320,"(2, 2, 4, 2, 2, 3)"
2322,"(2, 0, 1, 1, 3, 3)"
2324,"(3, 0, 3, 4, 3, 4)"
2325,"(4, 0, 1, 4, 4, 4)"
2326,"(3, 3, 4, 2, 0, 0)"
2327,"(0, 2, 2, 1, 4, 4)"
2331,"(3, 0, 2, 2, 1, 4)"
2332,"(4, 2, 2, 0, 2, 2)"
2336,"(3, 0, 2, 1, 2, 0)"
2342,"(2, 4, 0, 4, 1, 0)"
2345,"(3, 2, 4, 2, 2, 4)"
2347,"(2, 2, 0, 1, 3, 3)"
2350,"(4, 1, 2, 4, 1, 3)"
2353,"(2, 0, 2, 1, 2, 0)"
2356,"(2, 3, 3, 4, 2, 0)"
2357,"(3, 4, 3, 2, 2, 0)"
2359,"(2, 0, 1, 4, 3, 4)"
2360,"(2, 2, 1, 2, 0, 2)"
2362,"(3, 2, 0, 1, 2, 4)"
2363,"(2, 4, 2, 1, 4, 3)"
2364,"(3, 2, 1, 1, 3, 2)"
2365,"(3, 4, 0, 2, 2, 0)"
2366,"(4, 2, 2, 3, 2, 3)"
2371,"(2, 0, 0, 3, 4, 4)"
2373,"(4, 3, 4, 4, 4, 0)"
2374,"(2, 2, 0, 4, 4, 0)"
2380,"(0, 0, 4, 2, 4, 4)"
2382,"(2, 2, 0, 4, 3, 4)"
2383,"(2, 0, 1, 3, 0, 2)"
2384,"(3, 1, 4, 4, 4, 4)"
2386,"(2, 1, 2, 2, 0, 3)"
2389,"(3, 0, 4, 0, 2, 3)"
2395,"(3, 1, 0, 3, 4, 4)"
2396,"(2, 0, 2, 2, 3, 3)"
2397,"(3, 1, 3, 2, 0, 2)"
2398,"(3, 0, 3, 2, 1, 0)"
2400,"(3, 3, 3, 3, 4, 0)"
2404,"(3, 2, 3, 0, 2, 3)"
2405,"(2, 2, 0, 3, 0, 2)"
2411,"(2, 0, 3, 2, 4, 3)"
2412,"(3, 0, 2, 0, 0, 0)"
2413,"(3, 2, 2, 3, 1, 4)"
2417,"(4, 2, 4, 1, 3, 2)"
2421,"(2, 2, 2, 2, 3, 3)"
2424,"(3, 2, 3, 3, 3, 0)"
2427,"(4, 2, 0, 0, 3, 2)"
2431,"(2, 0, 1, 2, 2, 0)"
2435,"(3, 4, 2, 3, 2, 0)"
2437,"(0, 0, 3, 0, 1, 4)"
2443,"(2, 4, 1, 2, 4, 3)"
2447,"(2, 1, 4, 4, 0, 3)"
2448,"(2, 0, 0, 1, 3, 0)"
2451,"(0, 0, 4, 0, 3, 0)"
2452,"(0, 0, 1, 2, 4, 4)"
2454,"(4, 4, 2, 4, 3, 2)"
2456,"(4, 2, 0, 3, 3, 3)"
2457,"(4, 0, 3, 2, 2, 2)"
2459,"(3, 3, 1, 4, 3, 0)"
2462,"(2, 0, 2, 0, 4, 4)"
2463,"(3, 2, 4, 1, 2, 3)"
2465,"(2, 3, 3, 4, 1, 3)"
2468,"(3, 1, 2, 4, 0, 2)"
2473,"(2, 0, 1, 3, 3, 3)"
2476,"(4, 4, 4, 0, 3, 4)"
2477,"(2, 4, 3, 1, 4, 2)"
2479,"(4, 2, 2, 2, 2, 2)"
2480,"(3, 2, 4, 4, 2, 0)"
2481,"(2, 1, 3, 2, 4, 0)"
2486,"(2, 0, 0, 2, 4, 3)"
2487,"(2, 0, 2, 3, 1, 0)"
2488,"(4, 1, 0, 3, 2, 4)"
2491,"(4, 2, 3, 2, 3, 2)"
2492,"(2, 1, 3, 2, 0, 2)"
2495,"(3, 1, 4, 3, 4, 3)"
2497,"(4, 4, 4, 3, 0, 0)"
2498,"(3, 4, 3, 4, 2, 0)"
2499,"(0, 2, 3, 1, 3, 3)"
2500,"(4, 4, 0, 4, 2, 3)"
2501,"(2, 4, 3, 4, 4, 3)"
2503,"(3, 3, 3, 3, 3, 3)"
2508,"(4, 0, 3, 1, 4, 0)"
2512,"(0, 2, 0, 4, 0, 3)"
2514,"(2, 0, 3, 1, 3, 2)"
2515,"(2, 4, 0, 0, 2, 3)"
2516,"(3, 0, 3, 1, 4, 4)"
2517,"(3, 1, 2, 3, 2, 0)"
2520,"(0, 0, 4, 4, 4, 4)"
2523,"(4, 0, 0, 4, 1, 0)"
2524,"(3, 1, 1, 2, 2, 0)"
2525,"(2, 4, 4, 3, 2, 4)"
2527,"(4, 4, 2, 3, 1, 2)"
2532,"(3, 3, 1, 3, 1, 0)"
2535,"(0, 1, 4, 0, 4, 3)"
2536,"(4, 3, 1, 0, 3, 2)"
2541,"(2, 0, 1, 2, 1, 3)"
2549,"(4, 0, 1, 2, 3, 2)"
2550,"(1, 3, 4, 1, 1, 0)"
2551,"(3, 1, 0, 4, 1, 2)"
2555,"(4, 4, 3, 3, 4, 4)"
2556,"(4, 1, 4, 2, 2, 2)"
2557,"(2, 4, 2, 2, 1, 3)"
2562,"(0, 3, 3, 3, 4, 0)"
2564,"(3, 3, 2, 3, 4, 2)"
2565,"(4, 2, 0, 2, 3, 2)"
2569,"(3, 2, 0, 2, 0, 4)"
2576,"(0, 0, 4, 3, 1, 4)"
2582,"(3, 2, 4, 4, 1, 3)"
2588,"(3, 0, 0, 2, 2, 4)"
2589,"(3, 2, 2, 0, 2, 4)"
2590,"(2, 0, 2, 3, 0, 3)"
2592,"(3, 0, 0, 1, 3, 0)"
2593,"(4, 0, 3, 4, 2, 2)"
2597,"(3, 1, 4, 2, 3, 2)"
2598,"(3, 1, 0, 3, 2, 0)"
2599,"(2, 0, 2, 2, 4, 4)"
2601,"(0, 2, 0, 4, 3, 4)"
2602,"(2, 3, 0, 2, 2, 4)"
2604,"(4, 2, 2, 4, 1, 2)"
2606,"(2, 0, 3, 3, 1, 3)"
2607,"(4, 3, 0, 1, 3, 2)"
2608,"(4, 0, 2, 3, 3, 2)"
2611,"(4, 4, 4, 2, 3, 4)"
2612,"(2, 4, 3, 3, 4, 2)"
2613,"(4, 4, 0, 3, 2, 2)"
2616,"(0, 4, 3, 4, 1, 4)"
2617,"(2, 3, 3, 2, 2, 0)"
2620,"(3, 2, 3, 4, 0, 0)"
2623,"(0, 2, 0, 3, 0, 2)"
2624,"(4, 0, 0, 4, 0, 3)"
2629,"(0, 1, 2, 4, 4, 4)"
2635,"(3, 0, 2, 0, 3, 3)"
2636,"(0, 3, 0, 3, 4, 0)"
2641,"(4, 0, 1, 4, 1, 3)"
2643,"(0, 3, 0, 3, 3, 4)"
2646,"(2, 4, 0, 2, 2, 3)"
2647,"(2, 3, 2, 4, 1, 4)"
2648,"(0, 4, 4, 4, 2, 2)"
2651,"(2, 3, 0, 1, 4, 2)"
2656,"(3, 1, 1, 4, 2, 0)"
2657,"(2, 0, 4, 4, 4, 2)"
2658,"(0, 0, 0, 0, 0, 0)"
2660,"(4, 3, 1, 2, 2, 2)"
2661,"(4, 2, 1, 1, 3, 4)"
2667,"(4, 0, 2, 2, 0, 2)"
2672,"(2, 2, 3, 4, 3, 2)"
2673,"(4, 4, 3, 2, 4, 3)"
2674,"(3, 4, 0, 0, 3, 3)"
2677,"(0, 2, 0, 2, 2, 0)"
2680,"(3, 3, 0, 2, 2, 0)"
2682,"(0, 4, 0, 2, 4, 0)"
2683,"(2, 0, 0, 3, 1, 3)"
2686,"(2, 3, 0, 4, 4, 3)"
2687,"(3, 4, 4, 2, 4, 2)"
2692,"(3, 2, 0, 4, 0, 0)"
2693,"(2, 3, 4, 2, 1, 3)"
2697,"(4, 2, 0, 4, 2, 2)"
2698,"(3, 0, 0, 1, 2, 3)"
2699,"(4, 0, 4, 4, 3, 0)"
2704,"(2, 3, 2, 3, 3, 2)"
2705,"(4, 3, 2, 4, 1, 0)"
2709,"(3, 2, 2, 1, 3, 3)"
2710,"(4, 2, 3, 3, 2, 4)"
2711,"(3, 3, 4, 1, 3, 4)"
2717,"(2, 0, 3, 2, 1, 2)"
2720,"(4, 4, 2, 0, 4, 4)"
2721,"(3, 4, 1, 1, 2, 3)"
2722,"(2, 4, 4, 3, 0, 0)"
2727,"(2, 0, 2, 4, 4, 0)"
2729,"(3, 0, 0, 4, 2, 4)"
2734,"(4, 3, 0, 4, 2, 2)"
2737,"(0, 4, 4, 0, 2, 0)"
2738,"(4, 0, 0, 2, 3, 3)"
2740,"(0, 1, 3, 0, 2, 3)"
2742,"(0, 1, 2, 3, 4, 3)"
2744,"(4, 0, 3, 3, 2, 3)"
2745,"(4, 0, 1, 3, 0, 2)"
2749,"(3, 4, 1, 4, 3, 0)"
2750,"(1, 3, 2, 1, 1, 3)"
2751,"(3, 3, 1, 3, 4, 3)"
2753,"(1, 4, 4, 1, 1, 4)"
2754,"(0, 2, 2, 2, 1, 2)"
2756,"(3, 3, 4, 3, 0, 3)"
2757,"(4, 2, 0, 3, 0, 2)"
2761,"(3, 0, 2, 2, 2, 3)"
2764,"(2, 3, 4, 4, 3, 2)"
2765,"(4, 2, 1, 0, 3, 3)"
2768,"(4, 3, 2, 0, 2, 0)"
2770,"(4, 1, 0, 2, 0, 2)"
2776,"(2, 4, 2, 4, 4, 0)"
2778,"(2, 2, 0, 1, 4, 2)"
2779,"(3, 3, 0, 2, 1, 3)"
2783,"(2, 3, 4, 2, 4, 4)"
2785,"(2, 3, 0, 3, 3, 2)"
2787,"(3, 4, 0, 3, 2, 3)"
2788,"(3, 0, 0, 2, 0, 0)"
2791,"(0, 0, 1, 4, 2, 0)"
2793,"(2, 4, 2, 4, 0, 2)"
2795,"(3, 1, 3, 0, 0, 4)"
2804,"(4, 2, 1, 3, 3, 4)"
2806,"(3, 0, 3, 0, 2, 2)"
2811,"(2, 3, 3, 1, 4, 0)"
2812,"(4, 0, 2, 4, 0, 2)"
2815,"(2, 3, 0, 2, 0, 0)"
2821,"(3, 0, 4, 0, 3, 2)"
2824,"(2, 1, 3, 3, 2, 2)"
2827,"(3, 4, 4, 4, 4, 2)"
2828,"(4, 2, 3, 2, 2, 3)"
2829,"(4, 3, 2, 3, 4, 4)"
2832,"(2, 0, 1, 0, 2, 2)"
2834,"(3, 0, 3, 3, 2, 3)"
2835,"(4, 4, 0, 4, 1, 4)"
2839,"(3, 4, 1, 0, 2, 2)"
2841,"(4, 0, 1, 3, 3, 3)"
2843,"(0, 4, 0, 4, 0, 2)"
2850,"(4, 1, 4, 3, 2, 3)"
2851,"(4, 1, 2, 3, 0, 2)"
2852,"(2, 4, 4, 4, 4, 4)"
2853,"(2, 2, 0, 0, 2, 2)"
2854,"(3, 2, 3, 4, 3, 3)"
2856,"(3, 3, 4, 3, 3, 4)"
2857,"(3, 4, 1, 4, 2, 3)"
2863,"(2, 1, 0, 2, 0, 3)"
2865,"(4, 4, 2, 2, 4, 4)"
2867,"(3, 4, 1, 3, 2, 3)"
2870,"(3, 3, 1, 2, 4, 2)"
2873,"(4, 4, 3, 3, 1, 3)"
2875,"(3, 3, 4, 2, 0, 2)"
2878,"(2, 1, 4, 4, 1, 2)"
2879,"(4, 2, 2, 0, 2, 4)"
2883,"(3, 0, 2, 1, 2, 2)"
2884,"(2, 1, 1, 4, 1, 2)"
2887,"(2, 4, 0, 4, 1, 2)"
2894,"(0, 0, 0, 0, 3, 3)"
2898,"(3, 0, 1, 4, 1, 3)"
2899,"(2, 0, 2, 1, 2, 2)"
2900,"(3, 4, 3, 2, 2, 2)"
2909,"(3, 2, 1, 1, 3, 4)"
2910,"(3, 4, 0, 2, 2, 2)"
2911,"(4, 4, 4, 0, 4, 3)"
2914,"(3, 2, 2, 2, 0, 3)"
2916,"(4, 3, 4, 4, 4, 2)"
2918,"(2, 3, 3, 1, 3, 3)"
2921,"(3, 3, 0, 4, 0, 3)"
2931,"(4, 4, 1, 0, 1, 4)"
2932,"(2, 2, 0, 3, 4, 2)"
2933,"(4, 4, 4, 4, 0, 3)"
2937,"(2, 0, 4, 0, 1, 3)"
2943,"(4, 3, 4, 3, 1, 0)"
2944,"(2, 1, 1, 3, 3, 0)"
2945,"(3, 1, 3, 2, 0, 4)"
2946,"(3, 0, 3, 2, 1, 2)"
2947,"(3, 3, 3, 3, 4, 2)"
2948,"(4, 1, 0, 0, 4, 4)"
2950,"(2, 2, 0, 3, 0, 4)"
2951,"(1, 3, 1, 1, 1, 4)"
2953,"(4, 1, 2, 3, 3, 3)"
2959,"(4, 1, 3, 0, 0, 4)"
2961,"(0, 1, 4, 3, 4, 0)"
2966,"(4, 2, 4, 1, 3, 4)"
2970,"(3, 2, 3, 3, 3, 2)"
2972,"(2, 1, 4, 4, 4, 3)"
2973,"(4, 0, 2, 2, 4, 4)"
2974,"(4, 2, 0, 0, 3, 4)"
2976,"(2, 0, 1, 2, 2, 2)"
2979,"(3, 4, 2, 3, 2, 2)"
2983,"(2, 2, 4, 1, 2, 4)"
2984,"(2, 2, 0, 2, 1, 2)"
2985,"(4, 4, 3, 2, 1, 2)"
2987,"(2, 0, 0, 1, 3, 2)"
2989,"(3, 1, 2, 4, 4, 2)"
2991,"(2, 1, 2, 4, 2, 0)"
2998,"(0, 4, 2, 1, 0, 0)"
3000,"(4, 4, 2, 4, 3, 4)"
3005,"(3, 3, 1, 4, 3, 2)"
3008,"(0, 2, 3, 0, 2, 2)"
3010,"(3, 2, 2, 2, 3, 4)"
3011,"(3, 2, 0, 2, 1, 3)"
3013,"(2, 2, 3, 4, 2, 3)"
3014,"(2, 3, 1, 1, 4, 3)"
3016,"(3, 2, 3, 2, 4, 0)"
3023,"(3, 2, 1, 0, 3, 3)"
