,net
2164,"(2, 3, 0, 2, 2, 2)"
2165,"(2, 2, 0, 3, 2, 3)"
2168,"(2, 3, 1, 2, 3, 3)"
2174,"(2, 0, 3, 3, 2, 2)"
2176,"(1, 1, 1, 0, 2, 2)"
2182,"(1, 2, 1, 3, 1, 2)"
2184,"(3, 1, 0, 2, 3, 3)"
2186,"(1, 0, 1, 0, 1, 3)"
2187,"(2, 2, 0, 3, 3, 3)"
2191,"(1, 2, 3, 3, 3, 2)"
2194,"(1, 3, 2, 2, 1, 2)"
2197,"(3, 0, 2, 0, 3, 1)"
2200,"(3, 0, 3, 2, 0, 3)"
2201,"(1, 0, 2, 0, 2, 3)"
2205,"(2, 2, 2, 1, 2, 2)"
2207,"(1, 1, 0, 1, 2, 3)"
2211,"(3, 3, 1, 3, 1, 1)"
2215,"(2, 2, 2, 1, 3, 3)"
2216,"(3, 0, 1, 1, 2, 2)"
2223,"(1, 3, 1, 3, 1, 3)"
2225,"(2, 2, 3, 2, 0, 2)"
2227,"(3, 3, 2, 3, 2, 1)"
2228,"(3, 3, 0, 3, 1, 2)"
2232,"(3, 0, 2, 2, 0, 2)"
2239,"(3, 3, 0, 1, 1, 2)"
2241,"(3, 3, 2, 1, 3, 3)"
2247,"(3, 2, 1, 2, 0, 3)"
2251,"(2, 0, 2, 3, 3, 1)"
2255,"(3, 3, 2, 2, 0, 1)"
2258,"(2, 2, 2, 3, 0, 3)"
2260,"(3, 2, 3, 2, 3, 2)"
2262,"(2, 3, 2, 0, 3, 3)"
2267,"(1, 3, 3, 1, 1, 2)"
2269,"(2, 1, 3, 2, 2, 2)"
2270,"(3, 2, 2, 1, 3, 1)"
2272,"(2, 3, 1, 3, 2, 1)"
2281,"(3, 0, 3, 2, 2, 3)"
2286,"(2, 0, 3, 3, 0, 3)"
2287,"(3, 1, 0, 3, 2, 1)"
2299,"(2, 3, 3, 3, 0, 3)"
2300,"(3, 0, 3, 3, 0, 2)"
2311,"(3, 3, 3, 2, 3, 2)"
2312,"(2, 0, 1, 2, 3, 3)"
2321,"(3, 3, 0, 3, 3, 1)"
2333,"(2, 0, 2, 0, 2, 2)"
2342,"(2, 0, 3, 0, 3, 3)"
2348,"(1, 1, 1, 1, 0, 1)"
2351,"(0, 3, 0, 2, 0, 3)"
2353,"(3, 3, 2, 2, 3, 1)"
2360,"(2, 2, 2, 3, 3, 3)"
2361,"(3, 0, 1, 3, 2, 2)"
2370,"(3, 2, 2, 1, 1, 3)"
2371,"(2, 0, 2, 3, 2, 3)"
2372,"(3, 0, 1, 3, 3, 3)"
2386,"(3, 2, 2, 1, 2, 3)"
2391,"(2, 3, 1, 3, 1, 3)"
2392,"(3, 0, 3, 1, 2, 2)"
2393,"(3, 0, 3, 3, 2, 1)"
2395,"(2, 0, 3, 2, 0, 2)"
2401,"(3, 3, 3, 3, 2, 1)"
2402,"(2, 0, 3, 2, 1, 3)"
2404,"(3, 0, 0, 3, 2, 0)"
2406,"(2, 3, 3, 2, 0, 2)"
2410,"(3, 0, 3, 1, 3, 2)"
2411,"(3, 3, 2, 1, 0, 3)"
2417,"(2, 2, 0, 0, 3, 1)"
2430,"(3, 0, 1, 2, 1, 3)"
2444,"(2, 2, 0, 1, 3, 3)"
2450,"(2, 2, 1, 2, 0, 2)"
2454,"(3, 2, 1, 1, 3, 2)"
2455,"(2, 3, 0, 3, 2, 2)"
2459,"(3, 3, 2, 2, 2, 3)"
2464,"(2, 2, 3, 3, 3, 2)"
2465,"(2, 3, 3, 1, 3, 1)"
2469,"(2, 3, 0, 3, 3, 3)"
2472,"(2, 0, 1, 3, 0, 2)"
2475,"(2, 0, 2, 2, 2, 2)"
2479,"(3, 1, 0, 3, 3, 3)"
2481,"(1, 1, 2, 3, 1, 1)"
2486,"(2, 0, 2, 2, 3, 3)"
2488,"(3, 1, 3, 2, 0, 2)"
2489,"(1, 0, 1, 1, 2, 3)"
2490,"(2, 3, 2, 2, 2, 2)"
2499,"(2, 2, 1, 0, 2, 2)"
2500,"(3, 2, 3, 0, 2, 3)"
2504,"(2, 3, 1, 2, 1, 2)"
2506,"(3, 2, 1, 3, 0, 3)"
2511,"(3, 0, 3, 3, 1, 3)"
2514,"(2, 3, 3, 2, 3, 2)"
2516,"(1, 2, 3, 3, 1, 2)"
2523,"(2, 2, 2, 2, 3, 3)"
2536,"(2, 2, 0, 0, 2, 3)"
2541,"(1, 1, 2, 1, 2, 3)"
2553,"(3, 2, 1, 2, 2, 1)"
2555,"(2, 2, 3, 1, 2, 3)"
2560,"(3, 3, 0, 2, 3, 3)"
2561,"(3, 2, 0, 2, 1, 1)"
2564,"(3, 3, 2, 3, 1, 2)"
2569,"(1, 2, 2, 3, 2, 3)"
2570,"(2, 0, 1, 3, 3, 3)"
2571,"(3, 0, 2, 1, 2, 3)"
2575,"(3, 3, 2, 1, 1, 2)"
2577,"(3, 2, 1, 0, 3, 1)"
2579,"(2, 3, 0, 2, 2, 1)"
2587,"(3, 3, 3, 0, 3, 1)"
2588,"(2, 3, 0, 2, 3, 2)"
2591,"(2, 1, 3, 2, 0, 2)"
2593,"(3, 3, 3, 1, 2, 3)"
2595,"(2, 3, 1, 3, 0, 1)"
2596,"(3, 1, 0, 2, 3, 2)"
2600,"(1, 0, 1, 0, 1, 2)"
2601,"(0, 0, 0, 1, 0, 0)"
2603,"(2, 2, 0, 3, 3, 2)"
2609,"(3, 3, 3, 3, 3, 3)"
2610,"(1, 1, 0, 0, 3, 1)"
2611,"(2, 3, 3, 3, 2, 1)"
2618,"(2, 0, 3, 1, 3, 2)"
2629,"(3, 0, 3, 2, 1, 3)"
2638,"(3, 3, 1, 3, 2, 1)"
2639,"(2, 0, 1, 2, 1, 3)"
2648,"(1, 1, 2, 2, 1, 1)"
2650,"(2, 1, 2, 1, 1, 3)"
2653,"(3, 0, 2, 2, 0, 1)"
2654,"(3, 3, 2, 3, 3, 1)"
2656,"(3, 3, 0, 3, 2, 2)"
2659,"(1, 3, 2, 3, 2, 3)"
2664,"(3, 2, 1, 2, 0, 2)"
2668,"(2, 1, 0, 3, 3, 1)"
2674,"(3, 3, 0, 1, 2, 2)"
2678,"(2, 2, 0, 2, 1, 3)"
2681,"(3, 2, 3, 2, 3, 1)"
2682,"(3, 2, 1, 2, 1, 3)"
2691,"(1, 2, 2, 2, 2, 2)"
2693,"(2, 3, 1, 1, 3, 3)"
2702,"(2, 0, 3, 0, 2, 3)"
2704,"(2, 2, 2, 3, 1, 2)"
2707,"(2, 1, 3, 2, 3, 2)"
2710,"(3, 0, 0, 1, 3, 0)"
2712,"(3, 3, 2, 2, 3, 3)"
2719,"(3, 0, 3, 2, 3, 3)"
2721,"(2, 0, 3, 3, 1, 3)"
2722,"(2, 2, 1, 1, 0, 3)"
2725,"(2, 3, 3, 3, 0, 2)"
2733,"(2, 2, 2, 0, 2, 2)"
2735,"(2, 3, 3, 3, 1, 3)"
2736,"(0, 2, 0, 3, 0, 2)"
2740,"(0, 3, 0, 1, 0, 1)"
2742,"(3, 3, 3, 2, 3, 1)"
2747,"(3, 0, 3, 1, 1, 2)"
2748,"(3, 0, 2, 0, 3, 3)"
2755,"(3, 3, 1, 3, 1, 3)"
2762,"(0, 0, 0, 0, 0, 0)"
2768,"(2, 0, 2, 0, 3, 2)"
2770,"(0, 3, 0, 2, 0, 2)"
2774,"(3, 3, 2, 3, 2, 3)"
2788,"(3, 0, 1, 3, 3, 2)"
2790,"(2, 3, 1, 0, 2, 2)"
2794,"(2, 2, 1, 1, 2, 3)"
2797,"(2, 0, 2, 3, 3, 3)"
2799,"(3, 2, 2, 3, 0, 3)"
2803,"(2, 3, 0, 3, 1, 3)"
2805,"(3, 2, 2, 1, 2, 2)"
2806,"(2, 2, 3, 3, 1, 1)"
2807,"(2, 3, 1, 3, 1, 2)"
2809,"(2, 3, 2, 3, 3, 2)"
2811,"(2, 2, 1, 1, 3, 3)"
2813,"(3, 2, 2, 1, 3, 3)"
2818,"(2, 0, 2, 2, 0, 1)"
2819,"(2, 3, 1, 3, 2, 3)"
2824,"(1, 3, 2, 0, 1, 1)"
2825,"(2, 0, 3, 2, 1, 2)"
2829,"(2, 3, 3, 2, 0, 1)"
2834,"(2, 0, 3, 2, 2, 3)"
2839,"(2, 3, 3, 2, 1, 2)"
2840,"(3, 1, 2, 2, 0, 1)"
2841,"(1, 2, 1, 2, 1, 3)"
2842,"(2, 2, 2, 2, 1, 3)"
2844,"(2, 0, 1, 1, 3, 2)"
2846,"(1, 2, 3, 2, 3, 3)"
2850,"(3, 0, 1, 2, 1, 2)"
2854,"(3, 1, 1, 0, 1, 1)"
2864,"(3, 3, 0, 3, 3, 3)"
2865,"(2, 0, 0, 1, 1, 0)"
2867,"(3, 0, 2, 2, 2, 3)"
2870,"(3, 0, 1, 2, 2, 2)"
2876,"(2, 2, 3, 1, 0, 3)"
2879,"(3, 3, 2, 2, 2, 2)"
2880,"(2, 2, 3, 3, 3, 1)"
2881,"(3, 3, 0, 2, 1, 3)"
2885,"(2, 3, 0, 3, 3, 2)"
2890,"(1, 1, 1, 1, 0, 3)"
2896,"(2, 1, 2, 3, 0, 1)"
2899,"(3, 0, 2, 3, 3, 1)"
2901,"(0, 1, 0, 1, 0, 2)"
2904,"(0, 0, 0, 2, 0, 0)"
2908,"(2, 0, 2, 2, 3, 2)"
2910,"(3, 0, 3, 0, 2, 2)"
2913,"(2, 3, 2, 2, 2, 1)"
2921,"(3, 2, 1, 3, 0, 2)"
2925,"(2, 1, 3, 3, 2, 2)"
2926,"(1, 3, 1, 1, 2, 2)"
2931,"(2, 3, 1, 2, 2, 2)"
2932,"(1, 2, 1, 2, 3, 2)"
2936,"(2, 0, 1, 0, 2, 2)"
2939,"(3, 0, 3, 3, 2, 3)"
2941,"(3, 3, 3, 3, 1, 2)"
2942,"(3, 1, 2, 2, 3, 1)"
2953,"(2, 2, 0, 0, 2, 2)"
2962,"(2, 2, 0, 0, 3, 3)"
2966,"(2, 2, 2, 1, 1, 1)"
2967,"(1, 1, 0, 1, 1, 2)"
2969,"(1, 2, 3, 1, 3, 1)"
2977,"(3, 3, 0, 2, 3, 2)"
2980,"(1, 1, 2, 1, 3, 2)"
2989,"(3, 0, 2, 1, 2, 2)"
2995,"(3, 1, 1, 3, 1, 1)"
3003,"(2, 1, 2, 3, 3, 1)"
3004,"(3, 3, 2, 1, 2, 2)"
3007,"(3, 1, 3, 3, 3, 1)"
3009,"(2, 3, 0, 2, 3, 1)"
3011,"(2, 3, 3, 1, 2, 2)"
3013,"(2, 1, 3, 2, 0, 1)"
3015,"(0, 1, 0, 0, 0, 1)"
3018,"(3, 2, 2, 2, 0, 3)"
3019,"(2, 1, 1, 1, 2, 2)"
3020,"(2, 3, 3, 1, 3, 3)"
3022,"(1, 1, 2, 3, 0, 2)"
3023,"(3, 1, 2, 1, 2, 2)"
3035,"(2, 1, 3, 2, 1, 1)"
3041,"(3, 0, 3, 2, 1, 2)"
3042,"(0, 1, 0, 3, 0, 2)"
3050,"(3, 3, 2, 3, 3, 2)"
3051,"(1, 2, 3, 3, 0, 3)"
3060,"(3, 3, 3, 2, 2, 2)"
3061,"(3, 0, 2, 0, 1, 3)"
3063,"(3, 2, 3, 3, 3, 2)"
3065,"(3, 3, 0, 3, 2, 1)"
3067,"(2, 0, 1, 2, 2, 2)"
3072,"(3, 3, 0, 1, 2, 1)"
3077,"(2, 2, 0, 2, 1, 2)"
3079,"(3, 2, 1, 2, 1, 2)"
3086,"(1, 3, 0, 1, 1, 2)"
3088,"(3, 3, 0, 1, 3, 2)"
3089,"(1, 3, 1, 0, 3, 2)"
3091,"(3, 3, 2, 3, 0, 3)"
3092,"(2, 3, 1, 1, 3, 2)"
3094,"(3, 2, 1, 2, 2, 3)"
3101,"(3, 2, 0, 2, 1, 3)"
3102,"(1, 2, 2, 2, 3, 2)"
3103,"(2, 0, 3, 0, 2, 2)"
3105,"(3, 1, 0, 1, 3, 2)"
3107,"(1, 2, 1, 0, 1, 2)"
3116,"(3, 2, 1, 0, 3, 3)"
3118,"(3, 0, 1, 3, 1, 1)"
3119,"(2, 3, 0, 2, 2, 3)"
3123,"(2, 1, 1, 0, 2, 1)"
3124,"(2, 0, 2, 3, 1, 2)"
3129,"(3, 2, 0, 3, 2, 1)"
3132,"(2, 0, 3, 3, 2, 3)"
3136,"(2, 3, 1, 3, 0, 3)"
3137,"(2, 3, 3, 3, 1, 2)"
3138,"(1, 2, 1, 3, 1, 3)"
3142,"(1, 2, 0, 3, 1, 2)"
3147,"(3, 0, 1, 0, 2, 1)"
3149,"(2, 3, 3, 3, 2, 3)"
3151,"(1, 2, 3, 3, 3, 3)"
3153,"(3, 1, 1, 2, 1, 1)"
3156,"(3, 0, 2, 0, 3, 2)"
3158,"(2, 1, 1, 3, 2, 2)"
3159,"(3, 1, 2, 3, 2, 2)"
3161,"(1, 2, 3, 2, 0, 2)"
3162,"(3, 1, 1, 2, 2, 2)"
3166,"(3, 3, 2, 0, 3, 2)"
3167,"(3, 3, 1, 3, 1, 2)"
3168,"(3, 0, 1, 1, 2, 3)"
3171,"(3, 3, 1, 3, 2, 3)"
3184,"(3, 0, 2, 2, 0, 3)"
3191,"(3, 3, 2, 3, 3, 3)"
3193,"(2, 3, 1, 0, 2, 1)"
3198,"(2, 1, 0, 3, 3, 3)"
3199,"(3, 3, 2, 2, 0, 2)"
3200,"(1, 1, 2, 0, 2, 3)"
3202,"(3, 2, 1, 1, 2, 2)"
3203,"(2, 3, 1, 0, 3, 2)"
3207,"(3, 2, 3, 2, 3, 3)"
3211,"(2, 2, 1, 1, 3, 2)"
3212,"(1, 3, 3, 1, 1, 3)"
3213,"(2, 1, 3, 2, 2, 3)"
3214,"(1, 1, 3, 1, 0, 3)"
3215,"(3, 2, 2, 1, 3, 2)"
3218,"(2, 2, 3, 3, 2, 1)"
3219,"(1, 1, 3, 3, 3, 1)"
3223,"(3, 3, 3, 1, 3, 2)"
3230,"(3, 0, 1, 3, 0, 3)"
3233,"(3, 1, 0, 3, 2, 2)"
3238,"(2, 0, 3, 2, 2, 2)"
3239,"(2, 1, 3, 3, 0, 2)"
3243,"(2, 3, 3, 2, 1, 1)"
3245,"(1, 2, 1, 2, 1, 2)"
3251,"(2, 3, 3, 2, 2, 2)"
3252,"(2, 3, 1, 2, 0, 1)"
3253,"(1, 2, 3, 2, 3, 2)"
3255,"(3, 1, 2, 2, 1, 1)"
3256,"(2, 1, 1, 2, 2, 1)"
3259,"(0, 3, 0, 1, 0, 3)"
3260,"(3, 3, 3, 2, 3, 3)"
3264,"(3, 1, 1, 1, 2, 1)"
3275,"(3, 0, 1, 2, 2, 1)"
3280,"(2, 0, 2, 0, 2, 3)"
3283,"(3, 0, 1, 2, 3, 2)"
3285,"(1, 1, 2, 1, 1, 2)"
3286,"(3, 3, 1, 2, 2, 1)"
3301,"(3, 3, 2, 2, 3, 2)"
3312,"(2, 1, 2, 3, 1, 1)"
3313,"(3, 0, 3, 0, 2, 1)"
3316,"(3, 0, 3, 0, 3, 2)"
3324,"(2, 1, 3, 3, 2, 1)"
3325,"(3, 0, 0, 0, 2, 0)"
3327,"(3, 2, 3, 1, 3, 1)"
3334,"(2, 1, 3, 3, 3, 2)"
3339,"(2, 0, 1, 0, 3, 2)"
3345,"(3, 3, 3, 3, 2, 2)"
3347,"(1, 0, 2, 1, 1, 1)"
3349,"(2, 3, 3, 2, 0, 3)"
3351,"(3, 0, 3, 1, 3, 3)"
3353,"(2, 2, 0, 0, 3, 2)"
3355,"(3, 1, 2, 2, 0, 3)"
3362,"(2, 0, 1, 2, 0, 2)"
3368,"(2, 2, 3, 2, 3, 1)"
3373,"(1, 3, 0, 2, 2, 3)"
3377,"(2, 0, 2, 1, 2, 1)"
3381,"(2, 1, 0, 3, 2, 1)"
3389,"(3, 2, 0, 1, 3, 1)"
3392,"(2, 0, 2, 1, 3, 2)"
3394,"(3, 2, 1, 1, 3, 3)"
3401,"(2, 2, 3, 3, 3, 3)"
3404,"(2, 1, 1, 1, 2, 1)"
3405,"(2, 3, 3, 1, 3, 2)"
3408,"(3, 1, 2, 1, 2, 1)"
3411,"(2, 0, 1, 3, 0, 3)"
3415,"(1, 3, 1, 0, 2, 2)"
3418,"(2, 1, 1, 1, 3, 2)"
3420,"(3, 0, 2, 3, 3, 3)"
3424,"(1, 2, 1, 1, 3, 2)"
3426,"(3, 1, 2, 1, 3, 2)"
3428,"(1, 0, 2, 1, 3, 1)"
3435,"(2, 3, 2, 2, 2, 3)"
3437,"(0, 1, 0, 3, 0, 1)"
3445,"(2, 3, 1, 2, 1, 3)"
3446,"(2, 2, 1, 3, 2, 1)"
3448,"(3, 3, 2, 2, 1, 3)"
3449,"(3, 2, 2, 3, 2, 1)"
3450,"(1, 2, 3, 0, 2, 1)"
3457,"(2, 2, 2, 0, 1, 2)"
3458,"(2, 3, 3, 2, 3, 3)"
3460,"(3, 1, 0, 2, 1, 3)"
3463,"(3, 3, 3, 2, 2, 1)"
3466,"(3, 2, 3, 3, 3, 1)"
3468,"(3, 1, 2, 2, 3, 3)"
3471,"(2, 1, 1, 3, 0, 1)"
3474,"(3, 1, 2, 3, 0, 1)"
3477,"(3, 0, 2, 0, 2, 2)"
3484,"(3, 3, 0, 1, 3, 1)"
3492,"(3, 2, 1, 2, 2, 2)"
3493,"(2, 1, 2, 0, 3, 2)"
3500,"(3, 3, 2, 3, 1, 3)"
3511,"(2, 1, 0, 3, 1, 3)"
3517,"(3, 1, 1, 3, 1, 3)"
3518,"(3, 2, 1, 0, 3, 2)"
3525,"(2, 1, 2, 3, 3, 3)"
3526,"(3, 1, 3, 3, 3, 3)"
3528,"(2, 3, 0, 2, 3, 3)"
3533,"(2, 1, 3, 2, 0, 3)"
3534,"(3, 2, 3, 2, 1, 2)"
3535,"(2, 3, 1, 3, 0, 2)"
3548,"(2, 3, 3, 3, 2, 2)"
3550,"(2, 3, 2, 3, 2, 1)"
3555,"(2, 1, 1, 3, 2, 1)"
3556,"(1, 3, 3, 1, 0, 3)"
3557,"(2, 1, 3, 2, 1, 3)"
3559,"(3, 1, 2, 3, 2, 1)"
3562,"(3, 1, 1, 2, 2, 1)"
3566,"(2, 1, 1, 3, 3, 2)"
3569,"(2, 1, 0, 2, 3, 1)"
3570,"(3, 3, 2, 0, 3, 1)"
3572,"(3, 1, 1, 2, 3, 2)"
3575,"(3, 1, 2, 3, 3, 1)"
3576,"(3, 3, 0, 0, 2, 1)"
3577,"(3, 3, 1, 3, 2, 2)"
3578,"(3, 3, 3, 2, 1, 3)"
3585,"(3, 0, 1, 1, 3, 3)"
3589,"(1, 1, 2, 2, 1, 2)"
3590,"(2, 0, 0, 0, 2, 0)"
3599,"(3, 3, 0, 3, 2, 3)"
3600,"(3, 3, 1, 3, 3, 2)"
3602,"(1, 3, 1, 3, 2, 3)"
3607,"(1, 1, 2, 0, 2, 2)"
3612,"(2, 1, 0, 3, 3, 2)"
3613,"(2, 1, 3, 1, 3, 1)"
3614,"(2, 3, 1, 0, 3, 1)"
3615,"(3, 2, 1, 1, 2, 1)"
3616,"(3, 3, 0, 1, 2, 3)"
3620,"(2, 2, 1, 2, 3, 1)"
3627,"(1, 2, 2, 2, 2, 3)"
3628,"(1, 1, 3, 1, 0, 2)"
3637,"(3, 3, 3, 1, 3, 1)"
3641,"(2, 2, 2, 3, 1, 3)"
3642,"(2, 1, 3, 2, 3, 3)"
3645,"(3, 0, 1, 3, 0, 2)"
3647,"(2, 1, 2, 2, 3, 2)"
3654,"(3, 1, 3, 2, 3, 2)"
3656,"(2, 1, 3, 3, 0, 1)"
3659,"(3, 0, 1, 3, 1, 3)"
3665,"(2, 3, 3, 0, 2, 2)"
3666,"(2, 1, 3, 3, 1, 2)"
3669,"(3, 2, 0, 3, 2, 3)"
3671,"(2, 3, 3, 2, 2, 1)"
3676,"(0, 2, 0, 3, 0, 3)"
3678,"(2, 3, 2, 3, 1, 3)"
3679,"(0, 3, 0, 1, 0, 2)"
3682,"(1, 2, 1, 2, 2, 1)"
3684,"(3, 1, 2, 2, 2, 1)"
3686,"(3, 0, 1, 0, 2, 3)"
3688,"(3, 1, 1, 2, 1, 3)"
3690,"(2, 1, 0, 1, 3, 1)"
3691,"(1, 0, 2, 0, 3, 2)"
3696,"(1, 3, 3, 3, 0, 3)"
3700,"(3, 0, 1, 2, 3, 1)"
3706,"(2, 2, 3, 2, 1, 1)"
3707,"(2, 0, 2, 0, 3, 3)"
3709,"(1, 0, 2, 3, 3, 3)"
3710,"(3, 3, 1, 2, 3, 1)"
3723,"(2, 1, 3, 1, 2, 3)"
3724,"(2, 2, 0, 1, 1, 3)"
3726,"(2, 3, 1, 0, 2, 3)"
3746,"(2, 2, 3, 3, 1, 2)"
3747,"(2, 1, 3, 3, 3, 1)"
3748,"(2, 3, 2, 3, 3, 3)"
3750,"(3, 0, 0, 0, 3, 0)"
3756,"(2, 0, 1, 0, 3, 1)"
3758,"(1, 1, 3, 3, 3, 3)"
3759,"(3, 1, 0, 3, 1, 3)"
3767,"(2, 0, 2, 2, 1, 3)"
3770,"(1, 0, 2, 1, 2, 1)"
3773,"(3, 3, 0, 0, 3, 3)"
3774,"(2, 3, 3, 2, 1, 3)"
3776,"(3, 1, 2, 2, 0, 2)"
3782,"(3, 2, 3, 3, 1, 1)"
3783,"(2, 3, 1, 2, 0, 3)"
3785,"(3, 1, 2, 2, 1, 3)"
3790,"(2, 1, 1, 2, 2, 3)"
3796,"(3, 1, 3, 1, 3, 2)"
3803,"(1, 2, 3, 1, 0, 2)"
3808,"(3, 0, 1, 2, 2, 3)"
3810,"(2, 0, 2, 1, 3, 1)"
3811,"(3, 3, 1, 2, 1, 2)"
3823,"(2, 1, 3, 0, 2, 2)"
3825,"(2, 1, 1, 1, 3, 1)"
3827,"(3, 0, 2, 3, 3, 2)"
3829,"(3, 1, 2, 1, 3, 1)"
3830,"(0, 1, 0, 1, 0, 3)"
3834,"(3, 0, 3, 0, 2, 3)"
3836,"(2, 1, 2, 3, 1, 3)"
3842,"(1, 2, 1, 0, 0, 1)"
3845,"(3, 2, 1, 0, 2, 2)"
3848,"(2, 3, 0, 2, 1, 2)"
3852,"(2, 2, 1, 0, 3, 3)"
3853,"(2, 1, 3, 3, 2, 3)"
3856,"(3, 2, 3, 1, 3, 3)"
3858,"(2, 3, 1, 2, 2, 3)"
3859,"(2, 2, 1, 3, 3, 1)"
3863,"(1, 2, 3, 0, 3, 1)"
3864,"(2, 3, 2, 2, 3, 2)"
3867,"(2, 0, 1, 0, 2, 3)"
3869,"(3, 3, 3, 3, 1, 3)"
3872,"(3, 1, 0, 2, 2, 3)"
3876,"(3, 1, 2, 2, 3, 2)"
3888,"(2, 1, 1, 3, 1, 1)"
3893,"(3, 1, 2, 3, 1, 1)"
3898,"(3, 2, 3, 3, 0, 3)"
3903,"(2, 1, 2, 0, 3, 1)"
3909,"(3, 1, 3, 0, 3, 1)"
3916,"(1, 1, 2, 1, 3, 3)"
3924,"(2, 2, 3, 2, 3, 3)"
3925,"(2, 1, 0, 3, 1, 2)"
3930,"(3, 1, 1, 3, 1, 2)"
3934,"(2, 0, 2, 1, 2, 3)"
3936,"(2, 1, 2, 3, 3, 2)"
3937,"(2, 1, 0, 3, 2, 3)"
3938,"(2, 3, 2, 1, 1, 2)"
3944,"(3, 1, 3, 3, 3, 2)"
3945,"(3, 3, 2, 1, 2, 3)"
3947,"(2, 3, 3, 1, 2, 3)"
3951,"(3, 2, 3, 2, 1, 1)"
3955,"(0, 1, 0, 2, 0, 1)"
3957,"(0, 1, 0, 0, 0, 2)"
3958,"(3, 1, 1, 3, 2, 2)"
3960,"(1, 2, 2, 2, 0, 2)"
3962,"(2, 1, 1, 1, 2, 3)"
3963,"(2, 3, 1, 1, 1, 3)"
3964,"(3, 1, 2, 1, 2, 3)"
3965,"(3, 2, 3, 2, 2, 2)"
3976,"(2, 1, 3, 2, 1, 2)"
3978,"(2, 1, 2, 2, 1, 1)"
3984,"(2, 1, 1, 3, 3, 1)"
3986,"(3, 2, 3, 0, 3, 2)"
3989,"(0, 1, 0, 3, 0, 3)"
3991,"(3, 1, 1, 2, 3, 1)"
3993,"(2, 2, 1, 3, 2, 3)"
3994,"(3, 2, 2, 3, 2, 3)"
3999,"(3, 3, 3, 2, 1, 2)"
4008,"(3, 3, 3, 2, 2, 3)"
4010,"(3, 2, 3, 3, 3, 3)"
4014,"(3, 3, 1, 3, 3, 1)"
4015,"(2, 0, 1, 2, 2, 3)"
4019,"(1, 0, 0, 1, 2, 0)"
4028,"(2, 3, 0, 1, 2, 2)"
4029,"(3, 3, 0, 1, 3, 3)"
4034,"(2, 2, 3, 1, 3, 2)"
4035,"(0, 2, 0, 0, 0, 3)"
4036,"(3, 0, 0, 2, 3, 0)"
4038,"(2, 0, 2, 0, 1, 2)"
4047,"(3, 1, 0, 1, 3, 3)"
4050,"(2, 1, 2, 2, 3, 1)"
4053,"(2, 3, 2, 0, 1, 1)"
4056,"(3, 1, 3, 2, 3, 1)"
4057,"(3, 0, 1, 3, 1, 2)"
4065,"(2, 1, 1, 0, 2, 2)"
4067,"(2, 0, 2, 3, 1, 3)"
4070,"(2, 1, 3, 3, 1, 1)"
4072,"(2, 3, 3, 0, 2, 1)"
4073,"(3, 2, 0, 3, 2, 2)"
4074,"(3, 2, 3, 1, 2, 1)"
4076,"(3, 2, 1, 3, 3, 1)"
4081,"(2, 3, 2, 3, 1, 2)"
4082,"(2, 3, 3, 0, 3, 2)"
4086,"(3, 1, 2, 0, 2, 1)"
4087,"(3, 2, 0, 3, 3, 3)"
4092,"(2, 2, 2, 0, 3, 3)"
4094,"(3, 0, 1, 0, 2, 2)"
